# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	0	0	0	0	0
2020-03-09	0	0	0	0	0
2020-03-10	1	0	0	0	0
2020-03-11	2	0	0	0	0
2020-03-12	2	0	0	0	0
2020-03-13	2	0	0	0	0
2020-03-14	3	0	0	0	0
2020-03-15	4	0	0	0	0
2020-03-16	7	0	0	0	0
2020-03-17	8	0	0	0	0
2020-03-18	12	0	0	0	0
2020-03-19	14	0	0	0	0
2020-03-20	17	0	0	0	0
2020-03-21	19	0	0	0	0
2020-03-22	21	0	0	0	0
2020-03-23	24	0	0	0	0
2020-03-24	25	0	0	0	0
2020-03-25	25	0	0	0	0
2020-03-26	29	0	0	0	0
2020-03-27	29	0	0	0	0
2020-03-28	30	0	0	0	0
2020-03-29	30	0	0	0	0
2020-03-30	30	0	0	0	0
2020-03-31	30	0	0	0	0
2020-04-01	30	0	0	0	0
2020-04-02	30	0	0	0	0
2020-04-03	31	0	0	0	0
2020-04-04	32	0	0	0	0
2020-04-05	33	0	0	0	0
2020-04-06	33	0	0	0	0
2020-04-07	33	0	0	0	0
2020-04-08	33	0	0	0	0
2020-04-09	33	0	0	1	0
2020-04-10	33	0	0	1	0
2020-04-11	33	0	0	1	0
2020-04-12	34	0	0	1	0
2020-04-13	34	0	0	1	0
2020-04-14	34	0	0	1	0
2020-04-15	34	0	0	1	0
2020-04-16	34	0	0	1	0
2020-04-17	34	0	0	1	0
2020-04-18	34	0	0	1	0
2020-04-19	34	0	0	1	0
2020-04-20	34	0	0	1	0
2020-04-21	34	0	0	1	0
2020-04-22	34	0	1	0	0
2020-04-23	34	0	1	0	0
2020-04-24	35	0	1	0	0
2020-04-25	36	0	1	0	0
2020-04-26	36	1	0	0	0
2020-04-27	36	1	1	0	0
2020-04-28	36	1	1	0	0
2020-04-29	36	1	1	0	0
2020-04-30	36	1	0	0	0
2020-05-01	36	1	0	0	0
2020-05-02	36	1	0	0	0
2020-05-03	36	1	0	0	0
2020-05-04	36	1	0	0	0
2020-05-05	36	1	0	0	0
2020-05-06	37	1	0	0	0
2020-05-07	39	1	0	0	0
2020-05-08	41	1	0	0	0
2020-05-09	42	1	0	0	0
2020-05-10	45	1	0	0	0
2020-05-11	46	1	0	0	0
2020-05-12	47	1	0	0	0
2020-05-13	48	1	0	0	0
2020-05-14	49	1	0	0	0
2020-05-15	51	1	1	0	0
2020-05-16	52	1	0	0	0
2020-05-17	52	1	0	0	0
2020-05-18	53	1	0	0	0
2020-05-19	53	1	0	0	0
2020-05-20	53	1	0	0	0
2020-05-21	54	1	0	0	0
2020-05-22	54	1	0	0	0
2020-05-23	54	1	0	0	0
2020-05-24	54	1	2	0	0
2020-05-25	59	1	2	0	0
2020-05-26	59	1	2	0	0
2020-05-27	59	1	2	0	0
2020-05-28	61	1	0	0	0
2020-05-29	62	1	0	0	0
2020-05-30	64	1	0	0	0
2020-05-31	70	1	0	0	0
2020-06-01	71	1	0	0	0
2020-06-02	71	1	0	0	0
2020-06-03	72	1	0	1	0
2020-06-04	74	1	0	1	0
2020-06-05	74	1	0	1	0
2020-06-06	74	1	0	2	0
2020-06-07	74	1	1	0	0
2020-06-08	76	1	1	0	0
