# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	3	0	0	0	0
2020-03-04	4	0	0	0	0
2020-03-05	5	0	0	0	0
2020-03-06	6	0	0	0	0
2020-03-07	7	0	0	0	0
2020-03-08	9	0	0	0	0
2020-03-09	9	0	0	0	0
2020-03-10	10	0	0	0	0
2020-03-11	11	0	0	0	0
2020-03-12	11	0	0	0	0
2020-03-13	12	0	0	0	0
2020-03-14	13	0	0	0	0
2020-03-15	15	0	0	0	0
2020-03-16	16	0	0	0	0
2020-03-17	16	0	0	0	0
2020-03-18	18	0	0	0	0
2020-03-19	19	0	0	0	0
2020-03-20	20	0	0	0	0
2020-03-21	23	0	0	0	0
2020-03-22	27	0	0	0	0
2020-03-23	28	0	0	0	0
2020-03-24	29	0	0	0	0
2020-03-25	32	0	0	0	0
2020-03-26	34	0	0	0	0
2020-03-27	36	0	0	0	0
2020-03-28	39	0	0	0	0
2020-03-29	42	0	0	0	0
2020-03-30	44	0	0	0	0
2020-03-31	46	0	0	0	0
2020-04-01	51	0	0	0	0
2020-04-02	53	0	0	0	0
2020-04-03	56	0	0	0	0
2020-04-04	59	0	0	0	0
2020-04-05	64	0	0	0	0
2020-04-06	71	0	0	0	0
2020-04-07	74	0	0	0	0
2020-04-08	76	0	0	0	0
2020-04-09	79	0	0	0	0
2020-04-10	84	1	0	0	0
2020-04-11	89	1	0	0	0
2020-04-12	97	1	0	0	0
2020-04-13	98	1	0	0	0
2020-04-14	101	1	0	0	0
2020-04-15	106	1	0	0	0
2020-04-16	109	1	0	0	0
2020-04-17	111	1	0	0	0
2020-04-18	114	1	0	0	0
2020-04-19	118	1	0	0	0
2020-04-20	126	1	0	3	0
2020-04-21	133	1	0	4	0
2020-04-22	138	1	0	4	0
2020-04-23	145	1	1	3	0
2020-04-24	156	1	1	5	0
2020-04-25	163	1	3	5	0
2020-04-26	173	1	3	5	0
2020-04-27	180	1	1	5	0
2020-04-28	186	1	0	6	0
2020-04-29	191	1	0	6	0
2020-04-30	195	1	2	7	0
2020-05-01	204	2	2	4	0
2020-05-02	207	2	3	4	0
2020-05-03	213	2	4	2	0
2020-05-04	224	2	4	3	0
2020-05-05	242	2	4	3	0
2020-05-06	251	2	6	3	0
2020-05-07	257	2	6	4	0
2020-05-08	268	2	3	5	0
2020-05-09	282	2	4	6	0
2020-05-10	294	2	7	4	0
2020-05-11	321	2	6	6	0
2020-05-12	331	2	6	7	0
2020-05-13	346	3	9	6	0
2020-05-14	361	4	7	6	0
2020-05-15	379	5	13	6	0
2020-05-16	393	6	12	7	0
2020-05-17	411	8	9	7	0
2020-05-18	435	9	9	6	0
2020-05-19	454	11	6	4	0
2020-05-20	494	11	5	3	0
2020-05-21	521	11	6	4	0
2020-05-22	542	11	8	4	0
2020-05-23	558	11	4	5	0
2020-05-24	571	12	4	4	0
2020-05-25	608	14	4	4	0
2020-05-26	627	14	4	4	0
2020-05-27	651	15	5	5	0
2020-05-28	683	15	5	4	0
2020-05-29	703	15	4	9	0
2020-05-30	732	15	7	11	0
2020-05-31	761	15	7	10	0
2020-06-01	802	17	9	9	0
2020-06-02	834	18	11	12	0
2020-06-03	870	20	15	6	0
2020-06-04	905	20	19	6	0
2020-06-05	941	20	21	7	0
2020-06-06	979	21	20	6	0
2020-06-07	1009	21	20	8	0
2020-06-08	1061	21	19	7	0
2020-06-09	1106	22	16	6	0
2020-06-10	1170	23	12	9	0
2020-06-11	1202	24	13	10	0
2020-06-12	1265	25	11	10	0
2020-06-13	1314	25	13	9	0
2020-06-14	1376	25	14	9	0
2020-06-15	1465	25	13	6	0
2020-06-16	1549	25	16	12	0
2020-06-17	1628	27	19	12	0
2020-06-18	1718	28	23	14	0
2020-06-19	1795	30	28	17	0
2020-06-20	1899	30	32	14	0
2020-06-21	1972	30	35	13	0
2020-06-22	2087	34	37	13	0
2020-06-23	2197	35	36	12	0
2020-06-24	2272	37	33	17	0
2020-06-25	2357	39	42	19	0
2020-06-26	2474	44	41	21	0
2020-06-27	2547	45	43	23	0
2020-06-28	2612	48	41	29	0
2020-06-29	2720	54	42	29	0
2020-06-30	2824	56	36	28	0
2020-07-01	2983	60	43	31	0
2020-07-02	3103	66	48	32	0
2020-07-03	3242	67	49	35	0
2020-07-04	3364	68	50	34	0
2020-07-05	3486	69	51	29	0
2020-07-06	3635	73	45	27	0
2020-07-07	3805	76	40	31	0
2020-07-08	3942	81	43	34	0
2020-07-09	4067	84	47	36	0
2020-07-10	4265	86	55	38	0
2020-07-11	4393	90	60	39	0
2020-07-12	4528	91	66	40	0
