# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	2	0	0	0	0
2020-03-03	2	0	0	0	0
2020-03-04	2	0	0	0	0
2020-03-05	2	0	0	0	0
2020-03-06	2	0	0	0	0
2020-03-07	2	0	0	0	0
2020-03-08	2	0	0	0	0
2020-03-09	2	0	0	0	0
2020-03-10	3	0	0	0	0
2020-03-11	3	0	0	0	0
2020-03-12	4	0	0	0	0
2020-03-13	4	0	0	0	0
2020-03-14	4	0	0	0	0
2020-03-15	5	0	0	0	0
2020-03-16	10	0	0	0	0
2020-03-17	15	0	0	0	0
2020-03-18	18	0	0	0	0
2020-03-19	19	0	0	0	0
2020-03-20	20	0	0	0	0
2020-03-21	23	0	0	0	0
2020-03-22	23	0	0	0	0
2020-03-23	23	0	0	0	0
2020-03-24	24	0	0	0	0
2020-03-25	25	0	0	0	0
2020-03-26	27	0	0	0	0
2020-03-27	28	0	0	0	0
2020-03-28	30	0	0	0	0
2020-03-29	30	0	0	0	0
2020-03-30	31	0	0	0	0
2020-03-31	32	0	0	0	0
2020-04-01	32	0	0	0	0
2020-04-02	33	0	0	0	0
2020-04-03	33	0	0	0	0
2020-04-04	34	0	0	0	0
2020-04-05	35	0	0	0	0
2020-04-06	38	0	0	0	0
2020-04-07	38	0	0	0	0
2020-04-08	39	0	0	0	0
2020-04-09	41	0	0	0	0
2020-04-10	43	0	0	0	0
2020-04-11	45	0	0	0	0
2020-04-12	48	0	0	0	0
2020-04-13	48	0	0	0	0
2020-04-14	51	0	0	0	0
2020-04-15	51	0	0	0	0
2020-04-16	52	0	0	0	0
2020-04-17	54	0	0	0	0
2020-04-18	56	0	0	0	0
2020-04-19	56	0	0	0	0
2020-04-20	57	0	0	4	0
2020-04-21	59	0	4	1	0
2020-04-22	61	0	4	0	0
2020-04-23	62	0	4	1	0
2020-04-24	64	0	4	0	0
2020-04-25	66	0	5	1	0
2020-04-26	67	0	4	0	0
2020-04-27	68	0	5	0	0
2020-04-28	69	0	7	3	0
2020-04-29	71	0	2	3	0
2020-04-30	73	1	2	3	0
2020-05-01	75	1	1	3	0
2020-05-02	76	1	1	3	0
2020-05-03	79	1	1	3	0
2020-05-04	82	2	1	4	0
2020-05-05	87	2	1	5	0
2020-05-06	88	2	1	6	0
2020-05-07	92	2	3	7	0
2020-05-08	93	2	3	7	0
2020-05-09	97	2	2	9	0
2020-05-10	102	2	2	9	0
2020-05-11	109	2	1	10	0
2020-05-12	119	2	1	10	0
2020-05-13	122	3	3	10	0
2020-05-14	136	4	5	9	0
2020-05-15	146	5	7	8	0
2020-05-16	152	5	8	7	0
2020-05-17	165	5	11	8	0
2020-05-18	176	5	9	8	0
2020-05-19	186	5	11	8	0
2020-05-20	190	6	15	8	0
2020-05-21	201	7	20	6	0
2020-05-22	206	7	22	7	0
2020-05-23	212	7	24	7	0
2020-05-24	224	8	23	7	0
2020-05-25	236	8	23	5	0
2020-05-26	251	8	19	7	0
2020-05-27	259	8	18	10	0
2020-05-28	273	8	13	14	0
2020-05-29	285	8	13	16	0
2020-05-30	299	8	16	14	0
2020-05-31	312	8	21	17	0
2020-06-01	325	9	18	17	0
2020-06-02	341	9	26	16	0
2020-06-03	351	10	22	14	0
2020-06-04	369	12	20	14	0
2020-06-05	398	13	26	13	0
2020-06-06	421	14	26	15	0
2020-06-07	439	15	22	19	0
2020-06-08	470	17	17	19	0
2020-06-09	502	20	18	21	0
2020-06-10	535	22	25	27	0
2020-06-11	554	22	29	29	0
2020-06-12	584	25	30	24	0
2020-06-13	602	26	30	31	0
