# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	0	0	0	0	0
2020-03-09	0	0	0	0	0
2020-03-10	0	0	0	0	0
2020-03-11	0	0	0	0	0
2020-03-12	0	0	0	0	0
2020-03-13	0	0	0	0	0
2020-03-14	0	0	0	0	0
2020-03-15	0	0	0	0	0
2020-03-16	0	0	0	0	0
2020-03-17	0	0	0	0	0
2020-03-18	0	0	0	0	0
2020-03-19	0	0	0	0	0
2020-03-20	0	0	0	0	0
2020-03-21	0	0	0	0	0
2020-03-22	0	0	0	0	0
2020-03-23	0	0	0	0	0
2020-03-24	0	0	0	0	0
2020-03-25	0	0	0	0	0
2020-03-26	0	0	0	0	0
2020-03-27	0	0	0	0	0
2020-03-28	0	0	0	0	0
2020-03-29	0	0	0	0	0
2020-03-30	0	0	0	0	0
2020-03-31	0	0	0	0	0
2020-04-01	0	0	0	0	0
2020-04-02	0	0	0	0	0
2020-04-03	0	0	0	0	0
2020-04-04	0	0	0	0	0
2020-04-05	0	0	0	0	0
2020-04-06	0	0	0	0	0
2020-04-07	0	0	0	0	0
2020-04-08	0	0	0	0	0
2020-04-09	0	0	0	0	0
2020-04-10	0	0	0	0	0
2020-04-11	0	0	0	0	0
2020-04-12	0	0	0	0	0
2020-04-13	1	0	0	0	0
2020-04-14	1	0	0	0	0
2020-04-15	1	0	6	0	0
2020-04-16	1	0	0	0	0
2020-04-17	2	0	0	0	0
2020-04-18	2	0	0	0	0
2020-04-19	2	0	0	0	0
2020-04-20	2	0	0	0	0
2020-04-21	3	0	0	0	0
2020-04-22	3	0	0	0	0
2020-04-23	3	0	0	0	0
2020-04-24	4	0	0	0	0
2020-04-25	6	0	0	0	0
2020-04-26	6	0	1	0	0
2020-04-27	9	0	1	0	0
2020-04-28	9	0	1	0	0
2020-04-29	10	0	1	0	0
2020-04-30	11	0	1	0	0
2020-05-01	13	0	0	0	0
2020-05-02	16	1	0	0	0
2020-05-03	17	1	0	0	0
2020-05-04	19	1	0	0	0
2020-05-05	19	1	0	0	0
2020-05-06	19	1	1	0	0
2020-05-07	19	1	1	0	0
2020-05-08	19	1	1	0	0
2020-05-09	19	1	1	0	0
2020-05-10	19	1	1	0	0
2020-05-11	22	1	1	1	0
2020-05-12	22	1	1	1	0
2020-05-13	22	1	2	1	0
2020-05-14	25	2	3	1	0
2020-05-15	27	2	3	1	0
2020-05-16	30	3	3	1	0
2020-05-17	31	3	3	0	0
2020-05-18	32	3	3	0	0
2020-05-19	32	3	2	0	0
2020-05-20	36	4	3	0	0
2020-05-21	36	4	3	0	0
2020-05-22	38	4	2	1	0
2020-05-23	43	4	5	1	0
2020-05-24	43	5	5	1	0
2020-05-25	45	5	5	1	0
2020-05-26	45	5	5	2	0
2020-05-27	45	5	4	2	0
2020-05-28	47	5	5	2	0
2020-05-29	50	5	5	2	0
2020-05-30	51	5	6	2	0
2020-05-31	52	5	6	3	0
2020-06-01	53	6	9	1	0
2020-06-02	55	6	9	1	0
2020-06-03	57	6	6	2	0
2020-06-04	57	6	5	3	0
2020-06-05	62	6	2	2	0
2020-06-06	65	6	1	2	0
2020-06-07	65	6	4	2	0
2020-06-08	66	6	3	4	0
2020-06-09	67	6	4	2	0
2020-06-10	67	6	4	1	0
2020-06-11	72	6	7	1	0
2020-06-12	77	6	5	4	0
2020-06-13	78	7	7	1	0
2020-06-14	78	7	8	1	0
2020-06-15	78	7	7	2	0
2020-06-16	80	7	3	3	0
2020-06-17	83	7	5	3	0
2020-06-18	84	7	5	3	0
2020-06-19	92	8	4	2	0
2020-06-20	92	9	4	0	0
2020-06-21	95	10	4	0	0
2020-06-22	100	11	5	1	0
2020-06-23	106	11	4	1	0
2020-06-24	111	11	3	1	0
2020-06-25	117	11	5	1	0
2020-06-26	120	11	5	1	0
2020-06-27	122	11	6	2	0
2020-06-28	125	11	5	3	0
2020-06-29	130	11	10	3	0
2020-06-30	135	11	8	3	0
2020-07-01	138	11	7	3	0
2020-07-02	139	11	7	3	0
2020-07-03	144	12	8	4	0
2020-07-04	146	13	6	4	0
2020-07-05	148	14	6	3	0
2020-07-06	152	14	6	4	0
2020-07-07	155	15	5	4	0
2020-07-08	155	16	5	5	0
2020-07-09	158	17	5	5	0
2020-07-10	160	18	4	4	0
2020-07-11	161	18	6	4	0
2020-07-12	161	21	6	3	0
2020-07-13	161	21	3	6	0
2020-07-14	161	21	3	6	0
2020-07-15	161	21	2	5	0
2020-07-16	162	21	1	5	0
2020-07-17	163	22	1	3	0
2020-07-18	163	22	5	3	0
2020-07-19	163	22	6	3	0
2020-07-20	163	22	5	3	0
