# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	2	0	0	0	0
2020-02-26	3	0	0	0	0
2020-02-27	4	0	0	0	0
2020-02-28	4	0	0	0	0
2020-02-29	10	0	0	0	0
2020-03-01	49	0	0	0	0
2020-03-02	67	0	0	0	0
2020-03-03	78	0	0	0	0
2020-03-04	89	0	0	0	0
2020-03-05	107	0	0	0	0
2020-03-06	116	0	0	0	0
2020-03-07	128	0	0	0	0
2020-03-08	145	0	0	0	0
2020-03-09	156	0	0	0	0
2020-03-10	192	0	0	0	0
2020-03-11	215	0	0	0	0
2020-03-12	234	0	0	0	0
2020-03-13	261	0	0	0	0
2020-03-14	294	0	0	0	0
2020-03-15	388	0	0	0	0
2020-03-16	468	0	0	0	0
2020-03-17	519	0	0	0	0
2020-03-18	578	0	0	0	0
2020-03-19	638	0	0	0	0
2020-03-20	742	0	0	0	0
2020-03-21	792	0	0	0	0
2020-03-22	832	0	0	0	0
2020-03-23	898	0	0	0	0
2020-03-24	950	1	0	0	0
2020-03-25	1022	1	0	0	0
2020-03-26	1092	2	0	0	0
2020-03-27	1139	2	0	0	0
2020-03-28	1187	3	0	0	0
2020-03-29	1241	3	0	0	0
2020-03-30	1298	4	0	0	0
2020-03-31	1338	4	0	0	0
2020-04-01	1445	5	0	0	0
2020-04-02	1497	6	0	0	0
2020-04-03	1554	6	0	0	0
2020-04-04	1595	7	0	0	0
2020-04-05	1631	7	0	0	0
2020-04-06	1682	8	0	0	0
2020-04-07	1740	9	0	0	0
2020-04-08	1795	11	0	0	0
2020-04-09	1873	14	0	0	0
2020-04-10	1978	16	0	0	0
2020-04-11	2058	17	0	0	0
2020-04-12	2146	18	0	0	0
2020-04-13	2246	20	0	0	0
2020-04-14	2354	20	0	0	0
2020-04-15	2498	22	0	0	0
2020-04-16	2607	24	0	0	0
2020-04-17	2755	24	0	0	0
