# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	2	0	0	0	0
2020-03-01	3	0	0	0	0
2020-03-02	4	0	0	0	0
2020-03-03	5	0	0	0	0
2020-03-04	6	0	0	0	0
2020-03-05	7	0	0	0	0
2020-03-06	9	0	0	0	0
2020-03-07	10	0	0	0	0
2020-03-08	14	0	0	0	0
2020-03-09	16	0	0	0	0
2020-03-10	22	0	0	0	0
2020-03-11	28	0	0	0	0
2020-03-12	33	0	0	0	0
2020-03-13	45	0	0	0	0
2020-03-14	58	0	0	0	0
2020-03-15	92	0	0	0	0
2020-03-16	123	0	0	0	0
2020-03-17	137	0	0	0	0
2020-03-18	158	0	0	0	0
2020-03-19	181	0	0	0	0
2020-03-20	205	0	0	0	0
2020-03-21	230	0	0	0	0
2020-03-22	238	0	0	0	0
2020-03-23	259	0	0	0	0
2020-03-24	276	1	0	0	0
2020-03-25	298	1	0	0	0
2020-03-26	326	2	0	0	0
2020-03-27	339	2	0	0	0
2020-03-28	358	3	0	0	0
2020-03-29	388	3	0	0	0
2020-03-30	404	4	0	0	0
2020-03-31	421	4	0	0	0
2020-04-01	447	5	0	0	0
2020-04-02	463	6	0	0	0
2020-04-03	482	6	0	0	0
2020-04-04	498	7	0	0	0
2020-04-05	507	7	0	0	0
2020-04-06	525	8	0	0	0
2020-04-07	536	9	0	0	0
2020-04-08	548	10	0	0	0
2020-04-09	569	11	0	0	0
2020-04-10	587	12	0	0	0
2020-04-11	600	12	0	0	0
2020-04-12	613	13	0	0	0
2020-04-13	631	14	0	0	0
2020-04-14	650	14	0	0	0
2020-04-15	666	15	0	0	0
2020-04-16	678	17	0	0	0
2020-04-17	691	17	0	0	0
2020-04-18	707	17	0	0	0
2020-04-19	723	18	0	0	0
2020-04-20	745	18	10	31	0
2020-04-21	760	19	26	44	0
2020-04-22	777	19	16	39	0
2020-04-23	795	19	18	41	0
2020-04-24	817	20	14	45	0
2020-04-25	827	21	19	44	0
2020-04-26	845	23	17	45	0
2020-04-27	866	23	15	42	0
2020-04-28	885	24	19	46	0
2020-04-29	903	25	25	46	0
2020-04-30	922	25	26	41	0
2020-05-01	950	26	22	37	0
2020-05-02	966	28	21	41	0
2020-05-03	991	30	19	43	0
2020-05-04	1030	30	41	44	0
2020-05-05	1060	31	46	36	0
2020-05-06	1092	31	44	39	0
2020-05-07	1130	31	45	47	0
2020-05-08	1173	32	34	45	0
2020-05-09	1207	32	36	47	0
2020-05-10	1258	32	40	54	0
2020-05-11	1308	34	33	46	0
2020-05-12	1340	36	36	46	0
2020-05-13	1380	39	43	44	0
2020-05-14	1444	41	51	42	0
2020-05-15	1512	43	57	53	0
2020-05-16	1567	45	53	56	0
2020-05-17	1620	47	73	54	0
2020-05-18	1689	52	51	56	0
2020-05-19	1744	56	65	53	0
2020-05-20	1837	57	57	50	0
2020-05-21	1896	58	65	52	0
2020-05-22	1972	59	68	56	0
2020-05-23	2033	62	62	58	0
2020-05-24	2092	68	68	54	0
2020-05-25	2186	72	70	53	0
2020-05-26	2250	74	71	54	0
2020-05-27	2320	76	74	59	0
2020-05-28	2386	79	69	58	0
2020-05-29	2465	81	70	61	0
2020-05-30	2548	83	69	68	0
2020-05-31	2625	85	70	66	0
2020-06-01	2805	90	80	60	0
2020-06-02	2922	97	84	66	0
2020-06-03	3091	101	97	64	0
2020-06-04	3255	102	110	61	0
2020-06-05	3412	105	119	68	0
2020-06-06	3574	106	106	69	0
2020-06-07	3716	108	113	71	0
2020-06-08	3907	115	109	81	0
2020-06-09	4105	119	109	82	0
2020-06-10	4384	125	133	91	0
2020-06-11	4579	131	125	89	0
2020-06-12	4848	134	139	97	0
2020-06-13	5067	140	157	103	0
2020-06-14	5337	141	153	103	0
2020-06-15	5691	146	151	106	0
2020-06-16	5991	154	162	110	0
2020-06-17	6365	164	190	113	0
2020-06-18	6717	174	194	121	0
2020-06-19	7102	184	206	132	0
2020-06-20	7545	190	213	142	0
2020-06-21	7894	196	231	144	0
2020-06-22	8341	207	253	152	0
2020-06-23	8680	215	264	154	0
2020-06-24	9033	228	279	167	0
2020-06-25	9394	238	284	179	0
2020-06-26	9772	249	307	188	0
2020-06-27	10059	265	336	194	0
2020-06-28	10400	282	315	204	0
2020-06-29	10767	303	349	215	0
2020-06-30	11165	318	310	216	0
2020-07-01	11677	335	333	225	0
2020-07-02	12096	355	335	248	0
2020-07-03	12615	378	370	258	0
2020-07-04	13083	394	402	262	0
2020-07-05	13589	418	419	277	0
2020-07-06	14180	444	428	273	0
