# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	0	0	0	0	0
2020-03-05	0	0	0	0	0
2020-03-06	0	0	0	0	0
2020-03-07	0	0	0	0	0
2020-03-08	0	0	0	0	0
2020-03-09	0	0	0	0	0
2020-03-10	0	0	0	0	0
2020-03-11	0	0	0	0	0
2020-03-12	0	0	0	0	0
2020-03-13	0	0	0	0	0
2020-03-14	0	0	0	0	0
2020-03-15	0	0	0	0	0
2020-03-16	0	0	0	0	0
2020-03-17	0	0	0	0	0
2020-03-18	0	0	0	0	0
2020-03-19	0	0	0	0	0
2020-03-20	0	0	0	0	0
2020-03-21	0	0	0	0	0
2020-03-22	0	0	0	0	0
2020-03-23	0	0	0	0	0
2020-03-24	0	0	0	0	0
2020-03-25	0	0	0	0	0
2020-03-26	0	0	0	0	0
2020-03-27	0	0	0	0	0
2020-03-28	0	0	0	0	0
2020-03-29	0	0	0	0	0
2020-03-30	0	0	0	0	0
2020-03-31	0	0	0	0	0
2020-04-01	0	0	0	0	0
2020-04-02	0	0	0	0	0
2020-04-03	0	0	0	0	0
2020-04-04	0	0	0	0	0
2020-04-05	0	0	0	0	0
2020-04-06	0	0	0	0	0
2020-04-07	0	0	0	0	0
2020-04-08	0	0	0	0	0
2020-04-09	0	0	0	0	0
2020-04-10	0	0	0	0	0
2020-04-11	0	0	0	0	0
2020-04-12	0	0	0	0	0
2020-04-13	0	0	0	0	0
2020-04-14	0	0	0	0	0
2020-04-15	0	0	0	0	0
2020-04-16	0	0	0	0	0
2020-04-17	0	0	0	0	0
2020-04-18	0	0	0	0	0
2020-04-19	0	0	0	0	0
2020-04-20	1	0	0	0	0
2020-04-21	1	0	0	0	0
2020-04-22	1	0	0	0	0
2020-04-23	2	0	0	0	0
2020-04-24	2	0	0	0	0
2020-04-25	3	0	0	0	0
2020-04-26	4	0	0	0	0
2020-04-27	5	0	0	0	0
2020-04-28	5	0	0	0	0
2020-04-29	6	0	0	1	0
2020-04-30	8	1	0	0	0
2020-05-01	8	1	0	0	0
2020-05-02	10	1	0	1	0
2020-05-03	10	1	1	1	0
2020-05-04	11	1	1	1	0
2020-05-05	12	1	1	1	0
2020-05-06	12	1	1	1	0
2020-05-07	13	1	4	2	0
2020-05-08	14	1	3	4	0
2020-05-09	16	1	2	4	0
2020-05-10	17	1	3	3	0
2020-05-11	19	1	3	2	0
2020-05-12	20	1	3	2	0
2020-05-13	21	1	4	2	0
2020-05-14	22	2	2	2	0
2020-05-15	23	2	1	2	0
2020-05-16	23	2	2	2	0
2020-05-17	24	2	3	2	0
2020-05-18	24	2	0	2	0
2020-05-19	24	2	1	5	0
2020-05-20	25	2	3	2	0
2020-05-21	26	2	2	2	0
2020-05-22	27	2	3	3	0
2020-05-23	27	2	2	4	0
2020-05-24	29	2	4	3	0
2020-05-25	30	3	4	3	0
2020-05-26	30	3	4	3	0
2020-05-27	32	3	5	3	0
2020-05-28	34	3	6	4	0
2020-05-29	34	3	3	4	0
2020-05-30	37	3	3	4	0
2020-05-31	43	4	1	4	0
2020-06-01	49	4	1	4	0
2020-06-02	51	4	1	3	0
2020-06-03	52	4	2	1	0
2020-06-04	58	4	2	2	0
2020-06-05	61	5	2	4	0
2020-06-06	63	6	3	2	0
2020-06-07	70	6	3	2	0
2020-06-08	73	6	4	4	0
