# Data source: https://raw.githubusercontent.com/tiagoandresvaz/Covid-RS/master/data/Data_Regions_RS.csv
# Data provenance: http://ti.saude.rs.gov.br/covid19/
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	1	0	0	0	0
2020-03-07	2	0	0	0	0
2020-03-08	3	0	0	0	0
2020-03-09	4	0	0	0	0
2020-03-10	5	0	0	0	0
2020-03-11	5	0	0	0	0
2020-03-12	5	0	0	0	0
2020-03-13	6	0	0	0	0
2020-03-14	7	0	0	0	0
2020-03-15	9	0	0	0	0
2020-03-16	13	0	0	0	0
2020-03-17	14	0	0	0	0
2020-03-18	17	0	0	0	0
2020-03-19	17	0	0	0	0
2020-03-20	19	0	0	0	0
2020-03-21	21	0	0	0	0
2020-03-22	23	0	0	0	0
2020-03-23	25	0	0	0	0
2020-03-24	28	0	0	0	0
2020-03-25	31	0	0	0	0
2020-03-26	34	0	0	0	0
2020-03-27	36	0	0	0	0
2020-03-28	37	0	0	0	0
2020-03-29	37	0	0	0	0
2020-03-30	39	0	0	0	0
2020-03-31	41	0	0	0	0
2020-04-01	41	0	0	0	0
2020-04-02	41	0	0	0	0
2020-04-03	42	0	0	0	0
2020-04-04	42	0	0	0	0
2020-04-05	42	0	0	0	0
2020-04-06	43	0	0	0	0
2020-04-07	44	0	0	0	0
2020-04-08	46	0	0	0	0
2020-04-09	47	0	0	0	0
2020-04-10	48	0	0	0	0
2020-04-11	48	0	0	0	0
2020-04-12	51	0	0	0	0
2020-04-13	52	0	0	0	0
2020-04-14	52	0	0	0	0
2020-04-15	57	0	0	0	0
2020-04-16	57	0	0	0	0
2020-04-17	60	0	0	0	0
2020-04-18	60	0	0	0	0
2020-04-19	61	0	0	0	0
2020-04-20	65	0	0	1	0
2020-04-21	65	0	1	1	0
2020-04-22	66	0	1	0	0
2020-04-23	66	0	1	0	0
2020-04-24	69	0	1	0	0
2020-04-25	73	0	2	0	0
2020-04-26	75	0	2	0	0
2020-04-27	76	0	3	0	0
2020-04-28	77	0	3	0	0
2020-04-29	78	0	1	0	0
2020-04-30	78	1	1	0	0
2020-05-01	82	1	1	0	0
2020-05-02	82	1	1	0	0
2020-05-03	85	1	1	0	0
2020-05-04	87	2	1	0	0
2020-05-05	89	2	0	0	0
2020-05-06	90	2	0	0	0
2020-05-07	92	2	0	0	0
2020-05-08	98	2	0	0	0
2020-05-09	103	2	0	0	0
2020-05-10	108	2	0	0	0
2020-05-11	111	2	0	0	0
2020-05-12	115	2	0	0	0
2020-05-13	116	3	0	0	0
2020-05-14	136	3	1	0	0
2020-05-15	151	3	1	0	0
2020-05-16	155	3	1	0	0
2020-05-17	162	3	2	1	0
2020-05-18	171	3	1	1	0
2020-05-19	176	3	1	2	0
2020-05-20	189	4	3	2	0
2020-05-21	196	4	6	2	0
2020-05-22	203	4	5	3	0
2020-05-23	212	4	7	3	0
2020-05-24	221	4	6	3	0
2020-05-25	228	4	7	1	0
2020-05-26	238	4	5	3	0
2020-05-27	243	4	5	5	0
2020-05-28	249	4	5	5	0
2020-05-29	258	4	5	6	0
2020-05-30	262	4	6	6	0
2020-05-31	264	4	8	6	0
2020-06-01	275	5	6	7	0
2020-06-02	293	5	13	6	0
2020-06-03	303	5	11	5	0
2020-06-04	322	6	10	5	0
2020-06-05	330	6	12	4	0
2020-06-06	349	6	11	4	0
2020-06-07	358	7	10	4	0
2020-06-08	380	8	10	4	0
2020-06-09	393	9	8	5	0
2020-06-10	429	10	9	6	0
2020-06-11	438	10	10	6	0
2020-06-12	452	10	8	6	0
2020-06-13	457	10	6	7	0
2020-06-14	465	10	7	6	0
2020-06-15	488	11	10	6	0
2020-06-16	498	14	10	3	0
2020-06-17	514	15	9	3	0
2020-06-18	542	15	8	4	0
2020-06-19	566	16	9	5	0
2020-06-20	585	17	8	6	0
2020-06-21	599	17	10	6	0
2020-06-22	621	20	9	7	0
2020-06-23	643	20	11	3	0
2020-06-24	663	20	11	3	0
2020-06-25	676	20	8	4	0
2020-06-26	698	20	8	4	0
2020-06-27	712	20	8	4	0
2020-06-28	723	20	13	4	0
2020-06-29	736	20	9	5	0
2020-06-30	762	20	7	9	0
2020-07-01	788	20	9	9	0
2020-07-02	824	20	11	9	0
2020-07-03	858	20	10	6	0
2020-07-04	879	21	13	5	0
2020-07-05	919	21	9	5	0
2020-07-06	952	21	8	7	0
2020-07-07	976	21	9	7	0
2020-07-08	995	21	10	7	0
2020-07-09	1020	21	7	9	0
2020-07-10	1077	21	14	11	0
2020-07-11	1093	21	11	11	0
2020-07-12	1111	22	11	11	0
2020-07-13	1147	23	15	10	0
2020-07-14	1184	23	20	9	0
