# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	1	0			
2020-02-05	1	0			
2020-02-06	1	0			
2020-02-07	1	0			
2020-02-08	1	0			
2020-02-09	1	0			
2020-02-10	1	0			
2020-02-11	1	0			
2020-02-12	1	0			
2020-02-13	1	0			
2020-02-14	1	0			
2020-02-15	1	0			
2020-02-16	1	0			
2020-02-17	1	0			
2020-02-18	1	0			
2020-02-19	1	0			
2020-02-20	1	0			
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	17	0			
2020-03-03	37	0			
2020-03-04	72	0			
2020-03-05	126	0			
2020-03-06	207	0			
2020-03-07	317	0			
2020-03-08	344	0			
<<<<<<< HEAD
2020-03-09	408	0			
2020-03-10	502	1			
2020-03-11	601	4			
2020-03-12	775	5			
2020-03-13	1025	8			
2020-03-14	1363	13			
2020-03-15	1542	19			
2020-03-16	1756	30			
2020-03-17	2143	42			
2020-03-18	2565	64			
2020-03-19	3099	92			
2020-03-20	3812	123			
2020-03-21	4475	162			
2020-03-22	4945	204			
2020-03-23	5431	281			
2020-03-24	6760	355			
2020-03-25	7955	452			
2020-03-26	9154	553			
2020-03-27	10517	677			
2020-03-28	12036	811			
2020-03-29	12880	950			
2020-03-30	13563	1120			
2020-03-31	15301	1307			
2020-04-01	16982	1556			
2020-04-02	18485	1766			
2020-04-03	19945	1997			
2020-04-04	21636	2270			
2020-04-05	22561	2503			
2020-04-06	23226	2776			
2020-04-07	25148	3079			
2020-04-08	26648	3396			
2020-04-09	28235	3667			
2020-04-10	30459	3985			
2020-04-11	32778	4273			
2020-04-12	33801	4616			
2020-04-13	34318	4896			
2020-04-14	34850	5171			
2020-04-15	36412	5446			
2020-04-16	38032	5698			
2020-04-17	39696	5902			
2020-04-18	41078	6111			
2020-04-19	41795	6323			
2020-04-20	42238	6522			
2020-04-21	43510	6724			
2020-04-22	44773	6916			
2020-04-23	45548	7091			
2020-04-24	46516	7238			
2020-04-25	47319	7393			
2020-04-26	47706	7569			
2020-04-27	47911	7696			
2020-04-28	48659	7811			
2020-04-29	49227	7909			
2020-04-30	49741	7993			
2020-05-01	50328	8091			
2020-05-02	50565	8164			
2020-05-03	50849	8260			
2020-05-04	50990	8358			
2020-05-05	51659	8440			
2020-05-06	52195	8515			
2020-05-07	52746	8593			
2020-05-08	53172	8663			
2020-05-09	53651	8731			
2020-05-10	53891	8804			
2020-05-11	54009	8866			
2020-05-12	54471	8914			
2020-05-13	54866	8968			
2020-05-14	55184	9014			
2020-05-15	55478	9051			
2020-05-16	55818	9079			
2020-05-17	55964	9114			
2020-05-18	56045	9149			
2020-05-19	56352	9179			
2020-05-20	56636	9211			
2020-05-21	57017	9240			
2020-05-22	57088	9277			
2020-05-23	57334	9301			
2020-05-24	57456	9336			
2020-05-25	57531	9360			
2020-05-26	57835	9400			
2020-05-27	58033	9424			
2020-05-28	58214	9446			
2020-05-29	58373	9459			
2020-05-30	58532	9483			
2020-05-31	58592	9502			
2020-06-01	58640	9524			
2020-06-02	58698	9544			
2020-06-03	58876	9564			
2020-06-04	59036	9578			
2020-06-05	59204	9590			
2020-06-06	59359	9601			
2020-06-07	59428	9612			
2020-06-08	59481	9621			
2020-06-09	59631	9633			
2020-06-10	59775	9645			
2020-06-11	59891	9652			
2020-06-12	59985	9662			
2020-06-13	60073	9667			
2020-06-14	60120	9670			
2020-06-15	60142	9678			
2020-06-16	60290	9685			
2020-06-17	60387	9692			
2020-06-18	60509	9697			
2020-06-19	60615	9701			
2020-06-20	60732	9704			
2020-06-21	60781	9713			
2020-06-22	60798	9725			
2020-06-23	60910	9729			
2020-06-24	61000	9732			
2020-06-25	61013	9737			
2020-06-26	61106	9739			
2020-06-27	61106	9745			
2020-06-28	61209	9750			
2020-06-29	61361	9752			
2020-06-30	61427	9752			
2020-07-01	61509	9754			
2020-07-02	61598	9761			
2020-07-03	61727	9765			
2020-07-04	61838	9771			
2020-07-05	61909	9771			
2020-07-06	62016	9771			
2020-07-07	62058	9774			
2020-07-08	62123	9776			
2020-07-09	62210	9778			
2020-07-10	62210	9781			
2020-07-11	62469	9782			
2020-07-12	62606	9782			
2020-07-13	62707	9782			
2020-07-14	62781	9787			
2020-07-15	62781	9787			
=======
2020-03-09	409	0			
2020-03-10	503	0			
2020-03-11	602	1			
2020-03-12	776	4			
2020-03-13	1026	5			
2020-03-14	1364	8			
2020-03-15	1543	13			
2020-03-16	1757	19			
2020-03-17	2144	30			
2020-03-18	2566	42			
2020-03-19	3100	64			
2020-03-20	3813	92			
2020-03-21	4476	123			
2020-03-22	4946	162			
2020-03-23	5432	204			
2020-03-24	6760	282			
2020-03-25	7955	356			
2020-03-26	9154	452			
2020-03-27	10517	554			
2020-03-28	12036	677			
2020-03-29	12880	810			
2020-03-30	13563	949			
2020-03-31	15301	1118			
2020-04-01	16982	1305			
2020-04-02	18485	1556			
<<<<<<< HEAD
2020-04-03	19945	1768			
2020-04-04	21636	2001			
2020-04-05	22561	2275			
2020-04-06	23226	2510			
2020-04-07	25148	2782			
2020-04-08	26647	3085			
2020-04-09	28234	3402			
2020-04-10	30459	3672			
2020-04-11	32778	3990			
2020-04-12	33802	4278			
2020-04-13	34319	4620			
2020-04-14	34851	4900			
2020-04-15	36413	5175			
2020-04-16	38033	5450			
2020-04-17	39697	5701			
2020-04-18	41079	5906			
2020-04-19	41796	6114			
2020-04-20	42239	6325			
2020-04-21	43511	6523			
2020-04-22	44776	6725			
2020-04-23	45553	6917			
2020-04-24	46522	7093			
2020-04-25	47325	7240			
2020-04-26	47713	7395			
2020-04-27	47918	7571			
2020-04-28	48667	7698			
2020-04-29	49237	7813			
2020-04-30	49755	7911			
2020-05-01	50343	7995			
2020-05-02	50580	8093			
2020-05-03	50864	8166			
2020-05-04	51005	8262			
2020-05-05	51674	8360			
2020-05-06	52210	8441			
2020-05-07	52761	8516			
2020-05-08	53187	8594			
2020-05-09	53668	8664			
2020-05-10	53908	8732			
2020-05-11	54026	8805			
2020-05-12	54489	8867			
2020-05-13	54884	8915			
2020-05-14	55202	8969			
2020-05-15	55497	9015			
2020-05-16	55837	9052			
2020-05-17	55984	9080			
2020-05-18	56065	9115			
2020-05-19	56372	9150			
2020-05-20	56656	9180			
2020-05-21	57037	9212			
2020-05-22	57108	9241			
2020-05-23	57354	9278			
2020-05-24	57476	9302			
2020-05-25	57551	9336			
2020-05-26	57856	9360			
2020-05-27	58056	9400			
2020-05-28	58237	9424			
2020-05-29	58397	9446			
2020-05-30	58557	9459			
2020-05-31	58618	9483			
2020-06-01	58667	9502			
2020-06-02	58726	9524			
2020-06-03	58904	9544			
2020-06-04	59064	9564			
2020-06-05	59232	9578			
2020-06-06	59387	9590			
2020-06-07	59456	9601			
2020-06-08	59509	9613			
2020-06-09	59661	9622			
2020-06-10	59807	9634			
2020-06-11	59923	9646			
2020-06-12	60018	9653			
2020-06-13	60107	9663			
2020-06-14	60156	9668			
2020-06-15	60178	9671			
2020-06-16	60325	9679			
2020-06-17	60423	9686			
2020-06-18	60546	9693			
2020-06-19	60654	9698			
2020-06-20	60774	9702			
2020-06-21	60823	9705			
2020-06-22	60842	9714			
2020-06-23	60985	9726			
2020-06-24	61094	9730			
2020-06-25	61194	9733			
2020-06-26	61269	9738			
2020-06-27	61381	9740			
2020-06-28	61421	9747			
2020-06-29	61444	9752			
2020-06-30	61571	9755			
2020-07-01	61671	9763			
2020-07-02	61801	9765			
2020-07-03	61893	9770			
2020-07-04	61987	9772			
2020-07-05	62049	9774			
2020-07-06	62073	9776			
2020-07-07	62186	9777			
2020-07-08	62287	9780			
2020-07-09	62424	9781			
2020-07-10	62547	9783			
2020-07-11	62674	9783			
2020-07-12	62737	9785			
2020-07-13	62780	9789			
2020-07-14	63004	9789			
2020-07-15	63210	9792			
2020-07-16	63468	9797			
2020-07-17	63689	9802			
2020-07-18	63960	9804			
2020-07-19	64081	9806			
2020-07-20	64151	9807			
2020-07-21	64576	9809			
2020-07-22	64721	9810			
2020-07-23	65255	9813			
2020-07-24	65557	9815			
2020-07-25	65634	9820			
2020-07-26	65634	9821			
>>>>>>> palliative_flux
=======
2020-04-03	19945	1769			
2020-04-04	21636	2002			
2020-04-05	22561	2276			
2020-04-06	23226	2511			
2020-04-07	25148	2783			
2020-04-08	26647	3086			
2020-04-09	28235	3403			
2020-04-10	30463	3673			
2020-04-11	32782	3992			
2020-04-12	33806	4280			
2020-04-13	34323	4622			
2020-04-14	34855	4902			
2020-04-15	36419	5177			
2020-04-16	38047	5452			
2020-04-17	39715	5703			
2020-04-18	41102	5908			
2020-04-19	41821	6116			
2020-04-20	42264	6327			
2020-04-21	43536	6525			
2020-04-22	44801	6727			
2020-04-23	45578	6919			
2020-04-24	46548	7095			
2020-04-25	47356	7243			
2020-04-26	47744	7398			
2020-04-27	47949	7574			
2020-04-28	48698	7701			
2020-04-29	49268	7816			
2020-04-30	49785	7914			
2020-05-01	50373	7998			
2020-05-02	50610	8096			
2020-05-03	50896	8169			
2020-05-04	51037	8265			
2020-05-05	51707	8363			
2020-05-06	52253	8444			
2020-05-07	52805	8519			
2020-05-08	53248	8597			
2020-05-09	53731	8667			
2020-05-10	53971	8735			
2020-05-11	54089	8808			
2020-05-12	54565	8870			
2020-05-13	54960	8918			
2020-05-14	55277	8972			
2020-05-15	55582	9018			
2020-05-16	55926	9056			
2020-05-17	56073	9084			
2020-05-18	56154	9119			
2020-05-19	56471	9154			
2020-05-20	56763	9184			
2020-05-21	57149	9216			
2020-05-22	57219	9245			
2020-05-23	57467	9283			
2020-05-24	57590	9307			
2020-05-25	57665	9341			
2020-05-26	57978	9365			
2020-05-27	58179	9405			
2020-05-28	58361	9429			
2020-05-29	58532	9451			
2020-05-30	58697	9464			
2020-05-31	58759	9489			
2020-06-01	58808	9508			
2020-06-02	58867	9530			
2020-06-03	59047	9550			
2020-06-04	59206	9570			
2020-06-05	59376	9584			
2020-06-06	59530	9596			
2020-06-07	59598	9607			
2020-06-08	59651	9619			
2020-06-09	59803	9628			
2020-06-10	59949	9640			
2020-06-11	60067	9652			
2020-06-12	60162	9659			
2020-06-13	60251	9669			
2020-06-14	60300	9674			
2020-06-15	60322	9677			
2020-06-16	60469	9685			
2020-06-17	60567	9692			
2020-06-18	60690	9699			
2020-06-19	60798	9704			
2020-06-20	60919	9708			
2020-06-21	60968	9711			
2020-06-22	60987	9720			
2020-06-23	61130	9732			
2020-06-24	61240	9736			
2020-06-25	61340	9739			
2020-06-26	61416	9744			
2020-06-27	61529	9746			
2020-06-28	61570	9754			
2020-06-29	61593	9759			
2020-06-30	61720	9762			
2020-07-01	61820	9770			
2020-07-02	61954	9772			
2020-07-03	62047	9777			
2020-07-04	62140	9779			
2020-07-05	62203	9782			
2020-07-06	62227	9784			
2020-07-07	62340	9785			
2020-07-08	62439	9788			
2020-07-09	62576	9789			
2020-07-10	62699	9791			
2020-07-11	62825	9791			
2020-07-12	62887	9793			
2020-07-13	62930	9797			
2020-07-14	63155	9797			
2020-07-15	63362	9800			
2020-07-16	63622	9805			
2020-07-17	63845	9810			
2020-07-18	64119	9812			
2020-07-19	64248	9815			
2020-07-20	64313	9816			
2020-07-21	64756	9818			
2020-07-22	64900	9819			
2020-07-23	65453	9822			
2020-07-24	65891	9824			
2020-07-25	66387	9829			
2020-07-26	66617	9830			
2020-07-27	66804	9832			
2020-07-28	67397	9836			
2020-07-29	68084	9837			
2020-07-30	68772	9840			
2020-07-31	69406	9842			
2020-08-01	70083	9845			
2020-08-02	70374	9846			
2020-08-03	70521	9851			
2020-08-04	71268	9854			
2020-08-05	72039	9859			
2020-08-06	72723	9864			
2020-08-07	73225	9866			
2020-08-08	73308	9869			
2020-08-09	73308	9870			
>>>>>>> 6fa951aa049a0ae167bc058f735bc9c1230bd40a
